Authors,Title,Year,Source title,Page count,Cited by,Abstract,Affiliations,Author Keywords,Index Keywords,Article Type,Document Type,Topic Domain,Level of IS Phenomenon,Geography,Ethics Paper Type,Ethics Theory Applied,Research Method,Contribution Type,Industry Setting,Mentions Metaethics,Mentions EvoBiology,Mentions TheologyGod,Mentions LegalProfessionalDuty,"
Metaethical Position",Explicitness
Mason R.O.,Four ethical issues of the information age,1986,MIS Quarterly: Management Information Systems,7,664,[No abstract available],"Department of Management Information Sciences, Edwin L. Cox School of Business, Southern Methodist University, Dallas, TX, United States",,,Issues Opinions,Article,IS security; privacy,Societal,USA,Normative,None,Conceptual analysis,Conceptual,Cross sectoral,0,0,0,1,Realism,Implicit
Couger J.D.,Preparing IS students to deal with ethical issues,1989,MIS Quarterly: Management Information Systems,5,65,"The recent series of ethics violations in business (e.g., insider trading) has caused a number of firms to begin courses in ethics for employees. Unless professionals improve their ethical practices, legislation will force them to do so. The ACM and DPMA curriculum recommendations include ethics topics. An important issue is the proper education of IS students to deal with on-the-job ethical situations. Unfortunately, ethics education gets lost among the myriad of subjects to be taught in IS courses. But there is an effective pedagogical approach for this material. The approach requires students to determine how they would act in various ethical scenarios. This ""personalization"" method may be the first step toward proper ethical behavior in the workplace. While not a rigorous scientific treatment of the subject, the classroom experiences reported here may be helpful for IS faculty and IS trainers as they develop improved ethics instruction.","Computer and Management Science, University of Colorado, Colorado Springs, CO 80933, United States",Ethics; Training,,Ethical issues,Article,IS education,Students,USA,Normative,Deontology; professional ethics,Case based,Conceptual; pedagogical,Education,0,0,0,1,Cognitivism; Relativism,Implicit
Straub Jr. D.W.,Effective IS security: An empirical study,1990,Information Systems Research,21,604,"Information security has not been a high priority for most managers. Many permit their installations to be either lightly protected or wholly unprotected, apparently willing to risk major losses from computer abuse. This study, based on the criminological theory of general deterrence, investigates whether a management decision to invest in IS security results in more effective control of computer abuse. Data gathered through a survey of 1, 211 randomly selected organizations indicates that security countermeasures that include deterrent administrative procedures and preventive security software will result in significantly lower computer abuse. Knowledge about these relationships is useful for making key decisions about the security function. Copyright © 1990, The Institute of Management Sciences.","Curtis L. Carlson School of Management, University of Minnesota, Minneapolis, MN 55455, 271 19th Avenue South, United States",Computer crime; Computer ethics; Computer security; General deterrence theory; Information security; Protection of the information resource,Computer crime; Decision theory; Administrative procedures; Computer ethics; General deterrence theory; Information resource; Management decisions; Security countermeasures; Security functions; Security software; Security of data,Research article,Article,IS security,Organization,USA,Empirical descriptive,Deterrence theory,Survey,Empirical; theory testing,Cross sectoral,0,0,0,1,Consequentialism,Implicit
Oz E.,Ethical standards for information systems professionals: A case for a unified code,1992,MIS Quarterly: Management Information Systems,10,71,"Professions have adopted ethical codes and codes of conduct. Physicians, lawyers, and engineers have moral responsibilities and know to whom they are responsible. Professionals in the information systems field need similar guidance. Unfortunately, multiple professional standards in the field are offered by individual organizations. Many of the precepts in these codes are similar, but some are not. This article presents the principles of five codes: three U.S. codes, the Canadian code, and the British code. After an examination of their similarities and differences, it is proposed that we (1) resolve the differences and (2) adopt a single, coherent, international code of ethics for the information systems community.","Department of Accounting, School of Business Administration, Wayne State University, Detroit, MI 48202, United States",,,Issues Opinion,Article,IS professionalism,Organization; society,USA,Normative,Deontology; professional ethics,Conceptual analysis,Conceptual; policy,Cross national,0,0,0,1,Realism,Implicit
Wong E.Y.W.; Tate G.,A study of user participation in information systems development,1994,Journal of Information Technology,9,21,"User participation in information system development is considered to be an important factor influencing implementation success or failure. The ETHICS (Effective Technical and Human Implementation of Computer-based Systems) method was developed as a guide to user involvement in system design. A case study of successful implementation which did not use the ETHICS method explicitly is described. The case study and the ETHICS methodology are then compared and contrasted in an attempt to gain greater insight into user participation and to understand why the implementation was successful. Furthermore, techniques of software process modelling are applied to both ETHICS and the case study with the intention of more closely defining the user participation process and potentially also guiding it in future developments. The case study is used as a vehicle both to examine user participation and also to investigate the modelling of user participation. © 1994, Palgrave. All Rights Reserved.","Department of Information Systems, City Polytechnic of Hong Kong, China",,,Research article,Article,IS development,Organization; team,UK,Empirical descriptive,Sociotechnical design (ETHICS),Case study; process modeling,Empirical; conceptual model,Education,0,0,0,1,Constructivism,Implicit
Hirschheim R.; Klein H.K.,Realizing emancipatory principles in information systems development: The case for ETHICS,1994,MIS Quarterly: Management Information Systems,22,264,"Information systems development methodologies have been the subject of much attention over the years. A substantial body of research has focused on the need to develop methodologies that support viewing information systems as social constructs, and information systems development (ISD) as a social process. But if development is a social process, what principles/ideals should inform it? Recent research has called for ""emancipatory"" ideals to be included. This debate can be expanded to explore not only what emancipatory principles might be applied in information systems development, but also how. Existing ISD methodologies only partially embrace emancipatory principles. One of these - ETHICS - seems the most likely candidate to be extended or "" reformulated"" to achieve emancipatory ideals more comprehensively. Organizations using this reformulated version of ETHICS should make some progress advancing emancipation while at the same time confronting limited resources and the presence of power and authority. The approach undertaken here is generic; researchers can similarly apply these reformulation techniques to other methodologies based on other paradigms.","College of Business Administration, University of Houston, Houston, TX 77204-6283, United States; School of Management, State University of New York, Binghamton, NY 13902, United States",Critical social theory; Emancipation; Information systems development; Methodology reformulation; Neohumanism; Participation; Socio-technical design,,NA,Article,IS development,Societal; organization,Scandinavia,Normative,Critical theory; discourse ethics,Conceptual analysis,Theoretical,Cross sectoral,0,0,0,1,Constructivism,Implicit
Conger S.; Loch K.D.; Helft B.L.,Ethics and information technology use: a factor analysis of attitudes to computer use,1995,Information Systems Journal,22,64,"Abstract.  In 1986 Richard O. Mason identified privacy, accuracy, property and access as four ethical issues for the information age. The research reported here sought to answer the questions: are these social issues empirically verifiable constructs? Second, what consensus exists on the factors? A field survey of 79 business professionals and students identified 12 factors which were grouped into five clusters: ownership, access, motivation, responsibility and privacy. These constructs identify additional dimensions and complexity to extend Mason's definition of key ethical issues. The importance of separating the computer user who experiences the ethical dilemma from the stakeholder(s) who deal with the consequences of the dilemma is identified. This study also demonstrates some consensus within the survey items. Consensus exists that it is unethical to profit from non‐job, computer‐related acts. Consensus also exists that personal use of company‐owned information technology resources is acceptable. The other items show little consensus, identifying areas of necessary discussion within the computing professions to determine ethically consistent and appropriate computer uses. Copyright © 1995, Wiley Blackwell. All rights reserved","Management Information Systems Department, Edwin L Cox School of Business, Southern Methodist University, Dallas, Texas, 75275, United States; Department of Decision Sciences, College of Business, Georgia State University, Atlanta, Georgia, 30303, United States; Department of Statistics, Baruch College, CUNY, New York, 10010, 17 Lexington Avenue, United States",access; accuracy; computer ethics; ethical attitudes; ownership; privacy; stakeholders,computer use; factor analysis; information technology,Research article,Article,Computer use,Individual,USA,Empirical descriptive,None,Survey; factor analysis; vignettes,Empirical,Cross sectoral; business students,0,0,0,1,Realism; Constructivism; emotivism,Implicit
Morgan G.G.,ITEM: a strategic approach to information systems in voluntary organizations,1995,Journal of Strategic Information Systems,12,7,"Voluntary and community organizations raise many special issues for the implementation of computer-based information systems, in terms of organizational culture, low budgets, use of volunteer personnel, diffuse objectives, and other factors. For these reasons, development of information systems strategies in this sector is far from straightforward. Research is described which led to the development of a method known as ITEM, by which a small voluntary body can determine and implement an information systems strategy appropriate to its needs. The ITEM approach is outlined, and preliminary experience of its use is reported. © 1995.","School of Applied Information Technology, Faculty of Computer Studies and Maths, University of the West of England, Bristol, BS16 1QY, Frenchay Campus, Coldharbour Lane, United Kingdom",churches; ETHICS; information systems; ITEM; voluntary organizations,,Research article,Article,IS implementation,Organization; community,UK,Normative,Sociotechnical design (ETHICS),Case studies; action research,Conceptual; empirical,Voluntary organizations;Churches; nonprofits,0,0,0,1,Constructivism,Implicit
Benbasat I.; Weber R.,"Research Commentary: Rethinking ""Diversity"" in Information Systems Research",1996,Information Systems Research,10,272,"Three types of diversity have been prominent in the Information Systems discipline for over a decade: (a) diversity in the problems addressed; (b) diversity in the theoretical foundations and reference disciplines used to account for IS phenomena; and (c) diversity in the methods used to collect, analyze, and interpret data. History has played a major part in encouraging IS researchers to use diversity as a means of countering criticisms of their discipline and increasing their research rigor and productivity. In particular, frequent recourse to reference disciplines has underpinned much of the research that has been undertaken since the early 1980s. There are now signs, however, that the level of diversity that currently exists in IS research may be problematic. In this paper, we consider some of the benefits and costs of allowing diversity to reign in the IS discipline. We also propose a structure that we hope will facilitate discourse on the benefits and costs of diversity and on the role that diversity should now play in the IS discipline.","Fac. of Comm. and Bus. Admin., University of British Columbia, 2053 Main Mall, Vancouver, BC V6T 1Z2, Canada; Department of Commerce, University of Queensland, 4072, Australia",Diversity; Ethics; History; IS Research; Paradigms; Reference Disciplines,Hardware; History; Diversity; Ethics; Is researches; Paradigms; Reference discipline; Information systems,Commentary,Review,IS discipline,Disciplinary,NA,Normative,None,Conceptual analysis,Theoretical,Academia,0,0,0,0,Cognitivism; Realism,Implicit
Harrington S.J.,The effect of codes of ethics and personal denial of responsibility on computer abuse judgments and intentions,1996,MIS Quarterly: Management Information Systems,20,321,"This research asks whether codes of ethics affect computer abuse judgments and intentions of information systems (IS) employees. Codes of ethics examined include both company codes of ethics and those written specifically to deal with IS issues. In addition, since the intent of codes of ethics is to clarify responsibility and deter unethical behavior, both the psychological trait of responsibility denial and its moderating effect on codes was studied. While company codes did not affect the computer abuse judgments and intentions of all IS personnel, they did affect those IS personnel who tend to deny responsibility, thus suggesting that company codes may clarify responsibility and reduce rationalizations for some people. Unlike company codes, IS-specific codes of ethics had a direct effect on computer sabotage judgments and intentions, but had no differential effect on those high in responsibility denial. Finally, responsibility denial was directly related to all computer abuse judgments and intentions studied. Overall, codes had little effect on computer abuse judgments and intentions relative to the psychological trait of responsibility denial.","Georgia College, State University, Milledgeville, GA 31061-9337, 3690 Sussex Drive NE, United States; Georgia College, State University, Milledgeville, GA, United States",Abuse and crime; Codes of ethics; Computer crime; Deterrence; IS security; Management of security; Responsibility,Codes (standards); Computer viruses; Personnel; Problem solving; Security of data; Societies and institutions; Codes of ethics; Computer abuse; Information systems (IS); Computer crime,Research article,Article,IS security,Individual,USA,Empirical descriptive,Deterrence theory,Survey; vignettes,Empirical,Corporate IT departments,0,0,0,1,Non-cognitivism,Implicit
